ID	Article	Reference	Title	Year	Participants	Formula	Formula_type	Correlation	Corrected_r	r_nature	N_sub	%Women	Instructions_orig	Instructions_comb	N_trials	Time_intervals	Questionnaire	Variance
Pollatos 2009	1	Pollatos et al., 2009	Differential effects of anxiety and depression on interoceptive accuracy	2009	healthy	0	0	-0.2	-0.2	0	119	82	1	1	3	25, 35, 45	BDI-II	0.008205128205
Herbert 2011	2	Herbert et al., 2011	On the Relationship Between Interoceptive Awareness and Alexithymia: Is Interoceptive Awareness Related to Emotional Awareness?	2011	healthy	0	0	-0.21	-0.21	0	155	56.77	1	1	4	25, 35, 45, 55	BDI-II	0.006247712418
Furman 2013 (c.)	3	Furman et al., 2013	Interoceptive awareness, positive affect, and decision making in Major Depressive Disorder	2013	patients	0	0	0.11	0.11	0	25	100	2	2	3	25, 35, 45	BDI-II	0.04295217391
Furman 2013 (h.)	3	Furman et al., 2013	Interoceptive awareness, positive affect, and decision making in Major Depressive Disorder	2013	healthy	0	0	-0.32	-0.32	0	36	100	2	2	3	25, 35, 45	BDI-II	0.0264
Michal 2014 (c.)	4	Michal et al., 2014	Striking Discrepancy of Anomalous Body Experiences with Normal Interoceptive Accuracy in Depersonalization-Derealization Disorder	2014	patients	0	0	-0.26	-0.26	0	24	45.8	0	1	7	20, 25, 35, 45, 55, 65, 75	BDI-II	0.04238181818
Michal 2014 (h.)	4	Michal et al., 2014	Striking Discrepancy of Anomalous Body Experiences with Normal Interoceptive Accuracy in Depersonalization-Derealization Disorder	2014	healthy	0	0	0.059	0.059	0	26	46.2	0	1	7	20, 25, 35, 45, 55, 65, 75	BDI-II	0.041521625
Parkin 2014 Exp2	5	Parkin et al., 2014	Exploring the Relationship Between Mindfulness and Cardiac Perception	2014	healthy	Error score: ((|actual - reported|) / actual) x 100))	1	-0.03	0.03	0	166	72	2	2	6	25, 35, 45 (x2)	BDI-II	0.006092073171
Wölk 2014 (c.)	6	Wölk et al., 2014	Enhanced cardiac perception predicts impaired performance in the Iowa Gambling Task in patients with panic disorder	2014	patients	0	0	-0.45	-0.45	0	12	NA	3	2	4	20, 25, 35, 45	BDI-II	0.07975
Wölk 2014 (h.)	6	Wölk et al., 2014	Enhanced cardiac perception predicts impaired performance in the Iowa Gambling Task in patients with panic disorder	2014	healthy	0	0	0.37	0.37	0	13	NA	3	2	4	20, 25, 35, 45	BDI-II	0.07846363636
Shah 2016 Exp 1	7	Shah et al., 2016	Alexithymia, not autism, is associated with impaired interoception	2016	healthy	(1 - (|actual - reported|) / actual) x 100	1	0.06	0.06	0	38	52.63	1	1	4	 25, 35, 45, 100	BDI-II	0.02767777778
Di Lernia 2018	8	Di Lernia et al., 2018	Feel the Time. Time Perception as a Function of Interoceptive Processing	2018	healthy	0	0	0.045	0.045	0	30	100	NA	NA	4	25, 35, 45, 100	BDI-II	0.03564196429
Santangelo 2018	9	Santangelo et al., 2018	Interoceptive processing deficit: A behavioral marker for subtyping Parkinson's disease	2018	patients	0	0	-0.037	-0.037	0	43	NA	2	2	6	25, 35, 45 (x2)	BDI-II	0.02435685366
Kutscheidt 2019 (c.)	10	Kutscheidt et al., 2019	Interoceptive awareness in patients with attention-deficit/hyperactivity disorder (ADHD)	2019	patients	0	0	-0.21	-0.21	0	14	50	1	1	11	range from 30 to 90	BDI-II	0.07965833333
Kutscheidt 2019 (h.)	10	Kutscheidt et al., 2019	Interoceptive awareness in patients with attention-deficit/hyperactivity disorder (ADHD)	2019	healthy	0	0	-0.42	-0.42	0	16	56.25	1	1	11	range from 30 to 90	BDI-II	0.05882857143
Nicholson 2019 (h.)	11	Nicholson et al., 2019	Interoception is Impaired in Children, But Not Adults, with Autism Spectrum Disorder	2019	healthy	1 - (|actual - reported|)/((actual + reported)/2)	1	-0.15	-0.15	0	21	38.09	2	2	4	25, 35, 45, 100	BDI-II	0.05144736842
Nicholson 2019 (c.)	11	Nicholson et al., 2019	Interoception is Impaired in Children, But Not Adults, with Autism Spectrum Disorder	2019	patients	1 - (|actual - reported|)/((actual + reported)/2)	1	-0.25	-0.25	0	21	38.09	2	2	4	25, 35, 45, 100	BDI-II	0.04934210526
Schultchen 2019 (1) (c.)	12	Schultechen et al., 2019	Interoceptive deficits in patients with obsessive-compulsive disorder in the time course of cognitive-behavioral therapy	2019	patients	0	0	0.38	0.38	1	26	61.54	1	1	3	25, 35, 45	BDI-II	0.03565
Schultchen 2019 (1) (h.)	12	Schultechen et al., 2019	Interoceptive deficits in patients with obsessive-compulsive disorder in the time course of cognitive-behavioral therapy	2019	healthy	0	0	0.19	0.19	1	26	61.54	1	1	3	25, 35, 45	BDI-II	0.0401625
Di Lernia 2020	13	Di lernia et al., 2020	Altered Interoceptive Perception and the Effects of Interoceptive Analgesia in Musculoskeletal, Primary, and Neuropathic Chronic Pain Conditions	2020	patients	0	0	-0.15	-0.15	0	60	78.33	3	2	3	25, 35, 45	BDI-II	0.01685344828
Schulz 2020	14	Schulz et al., 2020	Distinctive body perception mechanisms in high versus low symptom reporters: A neurophysiological model for medically-unexplained symptoms	2020	healthy	0	0	0.06	0.06	0	58	81	3	2	6	25, 35, 45, 55, 65, 75	BDI-II	0.01779285714
