ID	Article	Reference	Title	Year	Participants	Formula	Formula_type	Correlation	Corrected_r	r_nature	N_sub	%Women	Instructions_orig	Instructions_comb	N_trials	Time_intervals	Questionnaire	Variance
Ehlers 1992 (c.1)	1	Ehlers and Breuer, 1992	Increased cardiac awareness in panic disorder	1992	patients	Error score: ((|actual - reported|) / actual) x 100))	1	0.03	-0.03	0	65	74	1	1	6	35, 25, 45 (x2)	STAI-T	0.01585873016
Ehlers 1992 (c.2)	1	Ehlers and Breuer, 1992	Increased cardiac awareness in panic disorder	1992	patients	Error score: ((|actual - reported|) / actual) x 100))	1	-0.13	0.13	0	50	72	1	1	6	35, 25, 45 (x2)	STAI-T	0.02048125
Ehlers 1992 (c.3)	1	Ehlers and Breuer, 1992	Increased cardiac awareness in panic disorder	1992	patients	Error score: ((|actual - reported|) / actual) x 100))	1	0.34	-0.34	0	27	81	1	1	6	35, 25, 45 (x2)	STAI-T	0.035376
Ehlers 1992 (h.)	1	Ehlers and Breuer, 1992	Increased cardiac awareness in panic disorder	1992	healthy	Error score: ((|actual - reported|) / actual) x 100))	1	0.12	-0.12	0	46	74	1	1	6	35, 25, 45 (x2)	STAI-T	0.0224
Dunn 2007 (c.1)	2	Dunn et al., 2007	Heartbeat perception in depression	2007	patients	Error score: ((|actual - reported|) / actual) x 100))	1	-0.21	0.21	0	18	72.2	2	2	6	35, 25, 45, 23, 56, 40	STAI-T	0.05974375
Dunn 2007 (c.2)	2	Dunn et al., 2007	Heartbeat perception in depression	2007	patients	Error score: ((|actual - reported|) / actual) x 100))	1	0.25	-0.25	0	18	72.2	2	2	6	35, 25, 45, 23, 56, 40	STAI-T	0.05859375
Dunn 2007 (h.)	2	Dunn et al., 2007	Heartbeat perception in depression	2007	healthy	Error score: ((|actual - reported|) / actual) x 100))	1	0.23	-0.23	0	18	77.8	2	2	6	35, 25, 45, 23, 56, 40	STAI-T	0.05919375
Pollatos 2007 (3)	3	Pollatos et al., 2007	Heartbeat perception and P300 amplitude in a visual oddball paradigm	2007	healthy	0	0	0.3	0.3	0	36	72.22	1	1	3	25, 35, 45	STAI-T	0.02676470588
Pollatos 2007 (1)	4	Pollatos et al., 2007	Interoceptive awareness mediates the relationship between anxiety and the intensity of unpleasant feelings	2007	healthy	0	0	0.28	0.28	0	102	65.69	1	1	3	25, 35, 45	STAI-T	0.009216
Pollatos 2007 (2)	5	Pollatos et al., 2007	Interoceptive awareness, anxiety and cardiovascular reactivity to isometric exercise	2007	healthy	0	0	0.47	0.47	0	18	0	1	1	4	35, 25, 45, 60	STAI-T	0.04869375
Pollatos 2007 (4)	6	Pollatos et al., 2007	Brain structures mediating cardiovascular arousal and interoceptive awareness	2007	healthy	0	0	0.58	0.58	0	20	0	1	1	4	32, 32, 32, 32	STAI-T	0.03686666667
Pollatos 2009	7	Pollatos et al., 2009	Differential effects of anxiety and depression on interoceptive accuracy	2009	healthy	0	0	0.2	0.2	0	119	82	1	1	3	25, 35, 45	STAI-T	0.008205128205
Werner 2009 (3)	8	Werner et al., 2009	Enhanced cardiac perception is associated with benefitsin decision-making	2009	healthy	0	0	0.16	0.16	1	50	48	1	1	3	25, 35, 45	STAI-T	0.0203
Herbert 2010	9	Herbert et al., 2010	Cardiac awareness and autonomic cardiac reactivity during emotional picture viewing and mental stress	2010	healthy	0	0	-0.03	-0.03	1	38	50	1	1	5	25, 35, 45, 55, 65	STAI-T	0.02775277778
Werner 2010	10	Werner et al., 2010	Implicit memory for emotional words is modulated by cardiac perception	2010	healthy	0	0	0.2	0.2	1	60	53.3	1	1	3	25, 35, 45	STAI-T	0.01655172414
Herbert 2012	11	Herbert et al., 2012	Interoception across modalities: On the relationship between cardiac awareness and the sensitivity for gastric functions	2012	healthy	0	0	0.09	0.09	0	49	100	1	1	4	25, 35, 45, 55	STAI-T	0.02110425532
Herbert 2013	12	Herbert et al., 2013	Intuitive eating is associated with interoceptive sensitivity. Effects on body mass index	2013	healthy	0	0	0.12	0.12	0	111	100	1	1	4	25, 35, 45, 55	STAI-T	0.009042201835
Werner 2013 (1)	13	Werner et al., 2013	Interoceptive awareness as a moderator of affective responses to social exclusion	2013	healthy	0	0	0.24	0.24	1	58	46.55	1	1	3	25, 35, 45	STAI-T	0.01682857143
Werner 2013 (2)	14	Werner et al., 2013	Interoceptive awareness moderates neural activity during decision-making	2013	healthy	0	0	-0.28	-0.28	0	29	58.6	1	1	3	25, 35, 45	STAI-T	0.03413333333
Kindermann 2014 (1)	15	Kindermann and Werner, 2014	Cardiac perception enhances stress experience	2014	healthy	0	0	-0.05	-0.05	0	40	55	1	1	3	25, 35, 45	STAI-T	0.02625
Kindermann 2014 (2)	16	Kindermann and Werner, 2014	The impact of cardiac perception on emotion experience and cognitive performance under mental stress	2014	healthy	0	0	0.16	0.16	1	50	48	1	1	3	25, 35, 45	STAI-T	0.0203
Michal 2014 (c.)	17	Michal et al., 2014	Striking Discrepancy of Anomalous Body Experiences with Normal Interoceptive Accuracy in Depersonalization-Derealization Disorder	2014	patients	0	0	-0.059	-0.059	0	24	45.8	0	1	7	20, 25, 35, 45, 55, 65, 75	STAI-T	0.04529631818
Michal 2014 (h.)	17	Michal et al., 2014	Striking Discrepancy of Anomalous Body Experiences with Normal Interoceptive Accuracy in Depersonalization-Derealization Disorder	2014	healthy	0	0	-0.179	-0.179	0	26	46.2	0	1	7	20, 25, 35, 45, 55, 65, 75	STAI-T	0.040331625
Parkin 2014 Exp2	18	Parkin et al., 2014	Exploring the Relationship Between Mindfulness and Cardiac Perception	2014	healthy	Error score: ((|actual - reported|) / actual) x 100))	1	0.04	-0.04	0	166	72	2	2	6	25, 35, 45 (x2)	STAI-T	0.006087804878
Scheuren 2014	19	Scheuren et al., 2014	Rumination and interoceptive accuracy predict the occurrence of the thermal grill illusion of pain	2014	healthy	0	0	-0.4	-0.4	0	51	51.85	2	2	3	24, 35, 45	STAI-T	0.01714285714
Werner 2014	20	Werner et al., 2014	Attention interference for emotional stimuli in cardiac interoceptive awareness	2014	healthy	0	0	-0.09	-0.09	1	56	46	1	1	3	25, 35, 45	STAI-T	0.01836851852
Wölk 2014 (c.)	21	Wölk et al., 2014	Enhanced cardiac perception predicts impaired performance in the Iowa Gambling Task in patients with panic disorder	2014	patients	0	0	-0.01	-0.01	0	15	NA	3	2	4	20, 25, 35, 45	STAI-T	0.07691538462
Wölk 2014 (h.)	21	Wölk et al., 2014	Enhanced cardiac perception predicts impaired performance in the Iowa Gambling Task in patients with panic disorder	2014	healthy	0	0	0.01	0.01	0	15	NA	3	2	4	20, 25, 35, 45	STAI-T	0.07691538462
Duschek 2015	22	Duschek et al., 2015	The contributions of interoceptive awareness to cognitive and affective facets of body experience	2015	healthy	0	0	-0.08	-0.08	1	60	66.67	2	2	3	25, 35, 45	STAI-T	0.01713103448
Pollatos 2016	23	Pollatos and Georgiou, 2016	Normal interoceptive accuracy in women with bulimia nervosa	2016	healthy	0	0	0.14	0.14	0	23	100	1	1	4	25, 35, 45, 60	STAI-T	0.04668571429
